epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1,val_f1
1,0.4587306256951957,0.4166196510195732,0.8034557235421166,0.7916666666666666,0.8057630736392742,0.7950819672131147
2,0.41327474754432153,0.3903966657817364,0.8131749460043196,0.8041666666666667,0.8071348940914158,0.8
3,0.401954152460756,0.3805583193898201,0.8201943844492441,0.8229166666666666,0.8155124653739613,0.8210526315789474
4,0.39364899540769643,0.4019024111330509,0.8250539956803455,0.8166666666666667,0.8261802575107297,0.8174273858921162
5,0.3811289010376766,0.40480126067996025,0.8299136069114471,0.8145833333333333,0.8258706467661692,0.8134171907756813
6,0.38973755158227064,0.40439924597740173,0.8239740820734341,0.8333333333333334,0.8312629399585921,0.8387096774193549
7,0.3766814531951115,0.409511461853981,0.8369330453563715,0.81875,0.827033218785796,0.8120950323974082
8,0.36890428641746786,0.4090408980846405,0.838012958963283,0.8145833333333333,0.8338870431893688,0.8102345415778252
9,0.3633316560038205,0.4096319228410721,0.8428725701943844,0.8145833333333333,0.839492553778268,0.8118393234672304
10,0.363094975208414,0.41453641653060913,0.8444924406047516,0.8166666666666667,0.8391061452513966,0.811965811965812
11,0.3607052831814207,0.4249098375439644,0.8444924406047516,0.8104166666666667,0.8363636363636363,0.8043010752688172
12,0.3530328109346587,0.43128499761223793,0.8509719222462203,0.81875,0.8458100558659218,0.8152866242038217
13,0.34894514700462076,0.4306836612522602,0.8504319654427646,0.8145833333333333,0.8446438586651711,0.8110403397027601
14,0.3440271482385438,0.41786615923047066,0.8547516198704104,0.825,0.8526027397260274,0.8227848101265823
15,0.3423872744214946,0.4206983149051666,0.8493520518358532,0.81875,0.8471232876712329,0.8168421052631579
16,0.3496108003731432,0.4016178846359253,0.8520518358531317,0.83125,0.851409978308026,0.8294736842105264
17,0.33714934258625423,0.4423159807920456,0.8563714902807775,0.8229166666666666,0.8530386740331491,0.8202959830866807
18,0.33923153219551877,0.4635661505162716,0.8493520518358532,0.8104166666666667,0.8415672913117547,0.8043010752688172
19,0.3468272953197874,0.47459854558110237,0.8504319654427646,0.80625,0.8419851682829436,0.7937915742793792
20,0.3374146171684923,0.44420722872018814,0.8509719222462203,0.81875,0.8444193912063134,0.814498933901919
